user,tweet,hashtag,location
wolferic12,@Officialventox_ Verdient Pinguin Bwo https://t.co/DzksbKUTs5,,"Hannover, Deutschland"
Pampersvon1896,@AFC202203 @Ukraine Google holodomor,,"Hannover, Deutschland"
TheTruth_PAC,@PeggyStuart Cheers https://t.co/YpFJsxkgHu,,"Hannover, Deutschland"
lingucat,"@ElenLeFoll @ISLELinguistics Amazing!! Congrats, Elen!! 🎉🥳🎉🥳🎉🥳🎉",,"Hannover, Deutschland"
MexxKite,@RaM0tte I can see it 😂👍 https://t.co/TYqlltA0xe,,Hannover
MexxKite,@RaM0tte I still have it at home! 💪 maybe if I remember I‘ll take a picture of it 😂👍,,Hannover
nisibebi,@playboicarti Nein fick dich,,"Hannover, Deutschland"
neoninsect,@MarieVaunt To you too 😊,,Hannover
neoninsect,"@Graykumiho84 Happy Yule, Marilyn ❤️",,Hannover
goddessmina651,@HerrinAngelx Hannover 🫶🏼,,"Hannover, Deutschland"
RadiomonsterFM,"Jetzt auf Evergreens: (Everything I Do) I Do It For You von Bryan Adams!
Stream einschalten: https://t.co/B0iZzhBT2m
#Bryan Adams",['Bryan'],"Hannover, Deutschland"
H96Tolga,@EAFIFADirect And where are the missing 6 World Cup tokens?!?!,,"Hannover, Deutschland"
duruserkan1906,Evet??? @TFForgtr https://t.co/uHKZCMUf7P,,"Hanover, Lower Saxony"
robbysherwood,"@17Schlobohm @MelnykAndrij Great country, great people!
Putin is the bad one.
Stop this russian propaganda: this is all hatred and not real problems.
We should ask, where our fighters for freedom and human rights are-the Ukrainians are THERE!
Glory to Ukraine!",,"Lehrte, Deutschland"
D4RKFL4M392,"@IzzyWinterz For Christmas I got some nice presents 🤣 well, true 😂",,"Garbsen, Deutschland"
JawadMonghol,"@_FaridKhan Based on suggestion given by coaches, only captain can selwc his team. Chief selector job is not to select playing XI. However, Afridi is trying to dominate on the team. Someone must tell this ill-minded person like Afridi that he has been retired from cricket.",,"Hanover, Germany"
bezosforlunch,@adinross Family,,"Hannover, Deutschland"
jhamann93,"@ParikPatelCFA @lexfridman Samosa is love, samosa is life.",,"Hannover, Deutschland"
StealandMagic,@AORUS_DE 850 Watt,,"Hannover, Deutschland"
dominikbertrams,@gunnerblog Goodly afternoon tomorrow,,Hannover
MexxKite,Had to laugh about „royalty“ cause I remembered the year my late grandfather gifted me our family crest which was used hundredth of years ago by our ancestors who apparently had a lot of land 😂😂😂 https://t.co/wNm7IHvQa8 https://t.co/PLKgu5khkQ,,Hannover
gerodeveloper,Attention all Minecraft enthusiasts! My new plugin programming service on Fiverr is now live and ready to take your server to the next level. Check it out and let's make your server shine! #Minecraft #PluginProgramming #Fiverr #GigLaunch #ServerBoost,"['Minecraft', 'PluginProgramming', 'Fiverr', 'GigLaunch', 'ServerBoost']",Hannover
nils14779062,@Looklikesam2 @mattxiv Thats the opposite of disrespecting,,Hannover
socialclueless,"@ichbinsotraurig Ok, Pech",,Hannover
MechDawn,"@Amidorah @MysJif @EpicGames They got a message here about login fails. They changed it in silence. I understand contracts might not allow to give DC version now to everyone. Still they managed to f*** that up with bad services, wrong administration and bad or none communication. https://t.co/V36QASNeUH",,"Hannover, Deutschland"
MRTNmusic_,@DuaTheeStallion 167 people saw your tweet... Thank me later 🤭,,"Hannover, Deutschland"
GlienkeStephan,@NoContextBrits You know what they say: everything is better with bacon.,,Hannover
EugestShirley,@LindaGMedium I hope they can be rescued.,,Hanover
ueberschaubar,@JayHulmePoet This is really bad and quite inconsiderate and willfully ignorant.,,Hannover
TimeTeee,"@AfroJew84 @Ukraine So they have no right of independance because they did not achieve as much? And looking at the economy of the USSR in it's last years, it was a much bigger failure than the problems you call out in ukraine today.",,"Hannover, Deutschland"
maerzmaedels,@gwenckatz I love Come all ye faithful by Bad Religion!,,"Hannover, Deutschland"
MRTNmusic_,@ElvirMonster Hast du deine collection schon getweeted? 🤗😅,,"Hannover, Deutschland"
hedyundolaf,@MarcusAgrippade Huch 🙊 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣💪💪💪💪,,"Mitte, Hannover"
EugestShirley,@bill_votes Also put lotion on your hands. They've been wrapping paper in all this cold weather.,,Hanover
Carmen_ocean_,"#BitaHaqaniNasimi 
This beautiful soul ,with only 22 years old is sentenced to death. She has spent 20 days in solitary confinement and is soon to be executed. This is how IR treats its people. Be the voice of the voiceless. #mahsaami̇ni̇ #StopExecutionsInIran https://t.co/rVGJhd5Cse","['BitaHaqaniNasimi', 'mahsaami̇ni̇', 'StopExecutionsInIran']","Hanover, Lower Saxony"
EugestShirley,"@MargoGontar Wishing Misha, your family, and you a best Christmas and great outcome.",,Hanover
MRTNmusic_,"@ILoveLG_KP_BS Amazing! 💗
I don't own BTW: The Remix and Dawn Of Chromatica yet, but I hope they'll be a part of my collection soon as well 🤗",,"Hannover, Deutschland"
timberwulff,@mmpadellan Because he is an absolute scumbag who thinks he can get away with it.,,Hanover
MRTNmusic_,This thread will get even longer with time... I'm expecting 2 more items to arrive next week already 🤗 https://t.co/Amvrda8MOy,,"Hannover, Deutschland"
GlienkeStephan,"@EladNehorai I'll Tell you! This year it's 24th: fish and potato salad, 25th: kale with potatoes and smoked sausage, 26th: duck with potatoes and red cabbage and in between it's cakes and cookies and gingerbread! Yay! Some years it's goose, deer, or whatnot. 😄🎉🎄🍗🍖🦞🍷🥂☕🥧",,Hannover
janniswiese,@cryptocom *cough*,,"Hanover, Lower Saxony"
MRTNmusic_,"Hold My Hand (Urban Outfitters Singles Day Exclusive Coke Bottle Clear Translucent Etched Vinyl) [US, 2022]

*Hold My Hand's only official physical release
**Exclusive to Urban Outfitters' US Webstore (S11ngles Day 2022) https://t.co/eKCBsRjd1t",,"Hannover, Deutschland"
MechDawn,@Amidorah @MysJif @EpicGames You dont get how retracting an once better offer - free or payed does not matter - retracting isnt a sh*t move? Wow.,,"Hannover, Deutschland"
MRTNmusic_,Hold My Hand:,,"Hannover, Deutschland"
e_rigs,"Merry christmas everyone! 🎄☃️
 
The professors, lectures and me hope you have some wonderful christmas days wirh your loved ones and enjoy your lecture free time! ✨

What’s your favourite festive activity? Tell me in the comments 🎁

#christmas #christmaseve #christmas2023 #art https://t.co/JKtYNAOLmi","['christmas', 'christmaseve', 'christmas2023', 'art']",Hannover
gbkendre,Brain stimulation boosts hearing in rats with ear implants https://t.co/D1q8yZkjUA,,"Hanover, Lower Saxony"
AdrianvaldezL,With a little bit of help from my friends I’ll be just fine.,,"Hanover, Lower Saxony"
Carmen_ocean_,"This is #HassanFirouzi , a 34 year old father to a newborn , and is currently under so much torture. He is set to be executed once he is in a “better”condition! Be his voice, stop this atrocity to happen! #حسن_فیروزی #mahsaami̇ni̇ #StopExecutionsInIran https://t.co/HesaXjZLK1","['HassanFirouzi', 'حسن_فیروزی', 'mahsaami̇ni̇', 'StopExecutionsInIran']","Hanover, Lower Saxony"
_GornyDavid,Strange World on @letterboxd: https://t.co/3SLh6XDwM2,,Hannover
keviii99,@FutSheriff @fsheriff_backup Playstation + Germany,,Hannover
MMnikes,@Cobratate Is your body to weak for a vaccination? My 98 year old grandma took 4 and she is not crying like you,,"Hannover, Deutschland"
PapiPapelon,Selfies https://t.co/KNgViCGKfz,,"Hannover, Deutschland"
PapiPapelon,Dead to any other mother.,,"Hannover, Deutschland"
C4kito,@AlpheriorKeys Gl everyone,,Hannover
MRTNmusic_,"Chromatica (Deluxe Edition) [EU, 2020]

*hardcover book
**Includes ""Love Me Right"", ""1000 Doves (Piano Version)"" &amp; ""Stupid Love (Vitaclub Warehouse Mix)"" https://t.co/atcI402dQ2",,"Hannover, Deutschland"
MRTNmusic_,"Chromatica (Standard Version) [EU, 2020] https://t.co/Gv9JAvhOV0",,"Hannover, Deutschland"
KaiHornung,"@blivieri Merry Christmas to you, too, Barbara! 🎄thank you 🙏🏼",,"Hannover, Deutschland"
Aerovenator,Added som haptic feedback caps to switches and buttons for my new @VIRPILControls Throttle. So I can feel the right button when flying in VR. https://t.co/xSAB6PoB4z,,Hannover / Germany
MRTNmusic_,Chromatica:,,"Hannover, Deutschland"
soupman39,"Wordle 554 4/6*

⬜🟨🟨⬜🟨
🟨🟨🟩🟨⬜
🟩🟨🟩⬜🟨
🟩🟩🟩🟩🟩",,Hanover
MRTNmusic_,"A Star Is Born (Vinyl) [EU, 2018]

*Black Vinyl
**Including 10 Photo Prints https://t.co/ydoi1H17ZB",,"Hannover, Deutschland"
MRTNmusic_,A Star Is Born:,,"Hannover, Deutschland"
MechDawn,"@Amidorah @MysJif @EpicGames Here is 500$ for you free. I already go someone to add as friend here but now we cannot! Oh wait, sorry it's only 50$. Still happy with the 50 for free? Yeah, now you know.",,"Hannover, Deutschland"
Poakz44,@CanFN9 First gamepedia,,Hannover city
EugestShirley,@bill_votes Congratulations.,,Hanover
Ismajlhx,"@FutSheriff @fsheriff_backup PS5, Germany https://t.co/VnqVZVziKV",,"Hannover, Deutschland"
robbysherwood,@17Schlobohm @MelnykAndrij MOST of them ... are no Oligarchs...,,"Lehrte, Deutschland"
Bassewitz1,@Domtendo Never change a running system.,,"Hannover, Deutschland"
